Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2009-BLG-375,MOA-2,gb1,5,+17:45:59.9050,-34:47:29.7600,,266.49960416666664,-34.791599999999995
MOA-2009-BLG-376,MOA-2,gb4,5,+17:52:27.2863,-31:39:26.6976,,268.11369291666665,-31.657415999999998
MOA-2009-BLG-377,MOA-2,gb10,8,+18:00:37.1138,-27:25:13.7064,,270.1546408333333,-27.420474000000002
MOA-2009-BLG-378,MOA-2,gb4,9,+17:57:07.1035,-30:42:02.1600,,269.27959791666666,-30.700599999999998
MOA-2009-BLG-379,MOA-2,gb8,2,+17:57:07.0382,-30:42:02.1600,,269.2793258333333,-30.700599999999998
MOA-2009-BLG-380,MOA-2,gb9,6,+18:01:07.7429,-30:03:43.0848,,270.28226208333325,-30.061968
MOA-2009-BLG-381,MOA-2,gb13,2,+18:04:06.5786,-29:02:58.6536,,271.0274108333333,-29.049626
MOA-2009-BLG-382,MOA-2,gb14,9,+18:07:33.8794,-27:04:36.1344,,271.8911641666666,-27.076704
MOA-2009-BLG-383,MOA-2,gb5,9,+17:54:04.6438,-28:46:23.9772,,268.5193491666666,-28.773327
MOA-2009-BLG-384,MOA-2,gb9,10,+18:01:58.6445,-28:32:33.3744,,270.49435208333324,-28.542604
MOA-2009-BLG-385,MOA-2,gb4,5,+17:51:09.0718,-31:49:18.6708,,267.7877991666667,-31.821853
MOA-2009-BLG-386,MOA-2,gb5,8,+17:55:08.1336,-29:15:11.9484,,268.78389,-29.253319
MOA-2009-BLG-387,MOA-2,gb2,2,+17:53:50.7898,-33:59:25.1952,,268.4616241666666,-33.990332
MOA-2009-BLG-388,MOA-2,gb2,9,+17:56:10.2475,-34:11:19.3848,,269.0426979166666,-34.188717999999994
MOA-2009-BLG-389,MOA-2,gb14,2,+18:05:18.0763,-27:01:48.4176,,271.3253179166666,-27.030116
MOA-2009-BLG-390,MOA-2,gb9,3,+17:59:00.3744,-29:22:51.8304,,269.75156,-29.381064000000002
MOA-2009-BLG-391,MOA-2,gb14,9,+18:08:52.3178,-27:08:23.6040,,272.21799083333326,-27.13989
MOA-2009-BLG-392,MOA-2,gb3,6,+17:54:45.0466,-33:18:27.6408,,268.68769416666663,-33.307677999999996
MOA-2009-BLG-393,MOA-2,gb5,10,+17:56:49.0070,-28:28:00.9588,,269.2041958333333,-28.466932999999997
MOA-2009-BLG-394,MOA-2,gb14,9,+18:07:31.4405,-27:01:58.4292,,271.88100208333327,-27.032897
MOA-2009-BLG-395,MOA-2,gb9,5,+17:57:48.9895,-30:02:16.1484,,269.4541229166666,-30.037819000000002
MOA-2009-BLG-396,MOA-2,gb1,9,+17:49:39.4397,-33:57:56.1492,,267.4143320833333,-33.965597
MOA-2009-BLG-397,MOA-2,gb16,2,+18:09:46.5235,-28:55:41.1204,,272.4438479166666,-28.928089
MOA-2009-BLG-398,MOA-2,gb11,5,+18:03:34.0402,-33:25:04.2852,,270.8918341666666,-33.417857
MOA-2009-BLG-399,MOA-2,gb8,7,+18:00:24.4577,-31:27:18.4932,,270.1019070833333,-31.455137
MOA-2009-BLG-400,MOA-2,gb1,6,+17:49:31.0860,-34:48:47.9160,,267.379525,-34.813309999999994
MOA-2009-BLG-401,MOA-2,gb17,10,+18:14:30.0180,-26:56:21.7752,,273.625075,-26.939382000000002
MOA-2009-BLG-402,MOA-2,gb17,2,+18:11:21.5376,-26:58:33.2076,,272.83974,-26.975890999999997
MOA-2009-BLG-403,MOA-2,gb17,7,+18:14:36.0610,-27:57:00.9864,,273.6502541666666,-27.950274
MOA-2009-BLG-404,MOA-2,gb4,5,+17:53:29.2346,-31:47:26.1420,,268.3718108333333,-31.790595000000003
MOA-2009-BLG-405,MOA-2,gb5,9,+17:55:48.7949,-28:45:29.3976,,268.95331208333334,-28.758166
MOA-2009-BLG-406,MOA-2,gb9,1,+17:59:17.6086,-28:26:35.5236,,269.8233691666666,-28.443201000000002
MOA-2009-BLG-407,MOA-2,gb9,4,+17:57:17.3609,-29:31:20.4528,,269.3223370833333,-29.522347999999997
MOA-2009-BLG-408,MOA-2,gb4,9,+17:57:08.0074,-30:44:18.4128,,269.2833641666666,-30.738448
MOA-2009-BLG-409,MOA-2,gb8,2,+17:57:07.9558,-30:44:18.6612,,269.28314916666665,-30.738517
MOA-2009-BLG-410,MOA-2,gb19,8,+18:19:42.6312,-25:25:46.5096,,274.92762999999997,-25.429586
MOA-2009-BLG-411,MOA-2,gb5,4,+17:53:58.3994,-29:44:56.0112,,268.4933308333333,-29.748892
MOA-2009-BLG-412,MOA-2,gb10,4,+17:58:50.0285,-27:45:10.2888,,269.7084520833333,-27.752858
MOA-2009-BLG-413,MOA-2,gb2,7,+17:54:34.3423,-35:00:17.5104,,268.64309291666666,-35.004864
MOA-2009-BLG-414,MOA-2,gb5,3,+17:50:58.5322,-29:22:50.8440,,267.74388416666665,-29.38079
MOA-2009-BLG-415,MOA-2,gb7,4,+17:58:08.7466,-32:56:33.4536,,269.5364441666666,-32.942626
MOA-2009-BLG-416,MOA-2,gb17,7,+18:13:48.2198,-27:57:23.5260,,273.4509158333332,-27.956535
MOA-2009-BLG-417,MOA-2,gb10,1,+17:58:56.7007,-26:52:57.8460,,269.7362529166666,-26.882735
MOA-2009-BLG-418,MOA-2,gb13,2,+18:03:08.4703,-28:58:39.8928,,270.7852929166666,-28.977748
MOA-2009-BLG-419,MOA-2,gb16,3,+18:11:31.2878,-29:08:24.1152,,272.8803658333333,-29.140031999999998
MOA-2009-BLG-420,MOA-2,gb1,2,+17:45:09.0082,-33:48:23.8680,,266.28753416666666,-33.80663
MOA-2009-BLG-421,MOA-2,gb9,2,+17:57:31.7950,-28:56:12.4224,,269.38247916666666,-28.936784
MOA-2009-BLG-422,MOA-2,gb3,7,+17:57:10.4897,-33:12:26.0712,,269.2937070833333,-33.207242
MOA-2009-BLG-423,MOA-2,gb9,2,+17:58:38.1773,-28:54:24.3756,,269.6590720833333,-28.906771
MOA-2009-BLG-424,MOA-2,gb14,10,+18:08:16.3301,-26:50:54.3804,,272.0680420833333,-26.848439
MOA-2009-BLG-425,MOA-2,gb3,7,+17:55:23.1283,-33:06:22.2120,,268.8463679166667,-33.10617
MOA-2009-BLG-426,MOA-2,gb5,8,+17:54:04.8624,-29:08:14.1252,,268.52025999999995,-29.137256999999998
MOA-2009-BLG-427,MOA-2,gb9,3,+17:57:44.6897,-29:04:43.4964,,269.43620708333333,-29.078749
MOA-2009-BLG-428,MOA-2,gb9,6,+18:00:14.2603,-30:03:38.5308,,270.05941791666663,-30.060703
MOA-2009-BLG-429,MOA-2,gb10,5,+17:58:45.7387,-28:20:23.3052,,269.6905779166666,-28.339807
MOA-2009-BLG-430,MOA-2,gb17,7,+18:14:41.8639,-27:42:18.8100,,273.6744329166666,-27.705225
MOA-2009-BLG-431,MOA-2,gb16,4,+18:11:34.0970,-29:35:29.3820,,272.8920708333333,-29.591495
MOA-2009-BLG-432,MOA-2,gb5,8,+17:56:35.6275,-29:20:47.7744,,269.1484479166666,-29.346604
MOA-2009-BLG-433,MOA-2,gb7,1,+17:57:38.5553,-31:53:55.4820,,269.4106470833333,-31.898744999999998
MOA-2009-BLG-434,MOA-2,gb11,2,+18:04:19.5149,-32:13:32.0304,,271.0813120833333,-32.225564
MOA-2009-BLG-435,MOA-2,gb8,1,+17:57:52.9908,-30:14:12.4224,CV,269.47079499999995,-30.236784
MOA-2009-BLG-436,MOA-2,gb5,3,+17:53:55.0207,-29:05:52.5192,,268.47925291666667,-29.097922
MOA-2009-BLG-437,MOA-2,gb9,4,+17:58:44.8906,-29:29:09.7656,,269.6870441666666,-29.486046
MOA-2009-BLG-438,MOA-2,gb12,10,+18:06:42.8870,-30:23:43.2564,,271.67869583333334,-30.395349
MOA-2009-BLG-439,MOA-2,gb7,9,+18:02:10.7858,-32:16:50.7360,,270.5449408333333,-32.28076
MOA-2009-BLG-440,MOA-2,gb1,9,+17:47:43.9625,-34:00:42.6816,,266.9331770833333,-34.011856
MOA-2009-BLG-441,MOA-2,gb3,6,+17:55:29.6299,-33:24:55.0152,,268.8734579166666,-33.415282
MOA-2009-BLG-442,MOA-2,gb14,2,+18:04:51.6204,-27:18:03.9564,,271.21508499999993,-27.301099
MOA-2009-BLG-443,MOA-2,gb3,8,+17:55:56.5123,-32:44:36.1428,,268.98546791666666,-32.743373
MOA-2009-BLG-444,MOA-2,gb13,7,+18:08:20.4218,-29:39:04.7916,,272.0850908333333,-29.651331
MOA-2009-BLG-445,MOA-2,gb4,10,+17:56:36.7198,-30:13:47.8776,,269.15299916666663,-30.229965999999997
MOA-2009-BLG-446,MOA-2,gb5,2,+17:53:57.6826,-28:43:37.3188,,268.4903441666666,-28.727033
MOA-2009-BLG-447,MOA-2,gb5,7,+17:56:05.0546,-29:34:45.0408,,269.0210608333333,-29.579178
MOA-2009-BLG-448,MOA-2,gb14,6,+18:06:47.9448,-28:20:54.3732,CV,271.69977,-28.348437
MOA-2009-BLG-449,MOA-2,gb5,7,+17:56:49.2055,-29:41:11.4612,,269.2050229166667,-29.686517
MOA-2009-BLG-450,MOA-2,gb5,7,+17:55:16.8890,-29:25:48.3276,,268.82037083333336,-29.430091
MOA-2009-BLG-451,MOA-2,gb5,3,+17:53:58.5818,-29:14:47.8932,,268.4940908333333,-29.246637
MOA-2009-BLG-452,MOA-2,gb19,3,+18:15:50.8207,-25:19:54.6600,,273.9617529166667,-25.33185
MOA-2009-BLG-453,MOA-2,gb14,1,+18:05:30.0581,-26:55:33.6180,,271.37524208333326,-26.926005
MOA-2009-BLG-454,MOA-2,gb18,9,+18:14:43.4009,-25:22:39.1332,,273.6808370833333,-25.377537
MOA-2009-BLG-455,MOA-2,gb14,9,+18:08:59.2800,-27:08:36.3012,,272.24699999999996,-27.143417
MOA-2009-BLG-456,MOA-2,gb1,8,+17:48:56.3954,-34:13:29.6976,,267.2349808333333,-34.224916
MOA-2009-BLG-457,MOA-2,gb10,5,+17:57:09.6394,-28:13:13.1304,,269.2901641666666,-28.220314
MOA-2009-BLG-458,MOA-2,gb14,3,+18:04:08.6124,-27:39:10.1700,,271.03588499999995,-27.652825
MOA-2009-BLG-459,MOA-2,gb15,10,+18:08:00.1164,-25:08:12.2028,,272.00048499999997,-25.136723
MOA-2009-BLG-460,MOA-2,gb17,3,+18:09:25.0841,-27:32:14.3052,,272.35451708333323,-27.537307000000002
MOA-2009-BLG-461,MOA-2,gb4,4,+17:53:22.6918,-31:27:36.3204,,268.34454916666664,-31.460089
MOA-2009-BLG-462,MOA-2,gb4,8,+17:54:23.8922,-30:58:26.3208,,268.5995508333333,-30.973978
MOA-2009-BLG-463,MOA-2,gb5,2,+17:51:25.7434,-28:57:22.5396,,267.85726416666665,-28.956260999999998
MOA-2009-BLG-464,MOA-2,gb9,2,+17:58:51.1054,-28:54:25.9128,,269.7129391666666,-28.907197999999998
MOA-2009-BLG-465,MOA-2,gb9,8,+18:00:31.9512,-29:17:16.4760,,270.13312999999994,-29.28791
MOA-2009-BLG-466,MOA-2,gb4,5,+17:53:13.4729,-31:40:11.9352,,268.3061370833333,-31.669982
MOA-2009-BLG-467,MOA-2,gb14,4,+18:04:12.9809,-27:59:26.9736,,271.0540870833333,-27.990826000000002
MOA-2009-BLG-468,MOA-2,gb15,8,+18:06:55.9975,-25:38:14.0244,,271.7333229166666,-25.637228999999998
MOA-2009-BLG-469,MOA-2,gb15,8,+18:07:07.1753,-25:43:38.7876,,271.7798970833333,-25.727441
MOA-2009-BLG-470,MOA-2,gb19,5,+18:16:18.4766,-26:03:21.9276,,274.0769858333333,-26.056091000000002
MOA-2009-BLG-471,MOA-2,gb21,6,+18:19:43.7261,-22:39:52.3548,,274.9321920833333,-22.664543
MOA-2009-BLG-472,MOA-2,gb5,9,+17:54:57.8558,-28:53:19.4064,,268.7410658333333,-28.888724
MOA-2009-BLG-473,MOA-2,gb4,2,+17:53:36.9518,-30:30:14.9256,,268.4039658333333,-30.504146
MOA-2009-BLG-474,MOA-2,gb2,1,+17:53:01.6980,-33:53:08.2644,,268.25707499999993,-33.885629
MOA-2009-BLG-475,MOA-2,gb10,8,+18:02:27.4594,-27:26:49.4304,,270.6144141666667,-27.447064
MOA-2009-BLG-476,MOA-2,gb12,6,+18:06:42.2261,-31:32:02.4360,,271.6759420833333,-31.534010000000002
MOA-2009-BLG-477,MOA-2,gb19,3,+18:15:24.8921,-25:38:02.4684,,273.85371708333327,-25.634019
MOA-2009-BLG-478,MOA-2,gb2,10,+17:57:14.8013,-33:54:13.0248,,269.3116720833333,-33.903618
MOA-2009-BLG-479,MOA-2,gb5,3,+17:52:57.7022,-29:20:47.4288,,268.2404258333333,-29.346508
MOA-2009-BLG-480,MOA-2,gb5,4,+17:51:54.7836,-29:28:43.4820,,267.978265,-29.478745
MOA-2009-BLG-481,MOA-2,gb4,7,+17:56:00.2582,-31:20:10.9104,,269.00107583333335,-31.336364
MOA-2009-BLG-482,MOA-2,gb10,2,+17:57:25.3202,-27:00:12.2040,,269.3555008333333,-27.00339
MOA-2009-BLG-483,MOA-2,gb14,3,+18:03:45.6199,-27:26:24.2124,,270.94008291666665,-27.440059
MOA-2009-BLG-484,MOA-2,gb14,7,+18:08:07.7366,-27:57:31.1796,,272.0322358333333,-27.958661
MOA-2009-BLG-485,MOA-2,gb5,2,+17:53:55.7906,-28:53:14.3484,,268.4824608333333,-28.887318999999998
MOA-2009-BLG-486,MOA-2,gb5,2,+17:52:50.8464,-29:03:19.5264,,268.21185999999994,-29.055424000000002
MOA-2009-BLG-487,MOA-2,gb8,10,+18:02:24.7133,-30:25:00.3900,,270.6029720833333,-30.416775
MOA-2009-BLG-488,MOA-2,gb9,1,+17:58:13.5264,-28:40:38.8272,,269.5563599999999,-28.677452000000002
MOA-2009-BLG-489,MOA-2,gb9,1,+17:57:46.6716,-28:38:56.8716,,269.4444649999999,-28.649131
MOA-2009-BLG-490,MOA-2,gb14,8,+18:06:50.9748,-27:26:15.0612,,271.712395,-27.437517
MOA-2009-BLG-491,MOA-2,gb16,3,+18:10:09.2858,-29:16:23.8116,,272.5386908333333,-29.273281
MOA-2009-BLG-492,MOA-2,gb4,2,+17:52:50.7324,-30:29:53.1924,,268.211385,-30.498109
MOA-2009-BLG-493,MOA-2,gb5,9,+17:55:46.1321,-28:48:25.5024,,268.9422170833333,-28.807084
MOA-2009-BLG-494,MOA-2,gb13,4,+18:04:01.5377,-29:33:53.0856,,271.0064070833333,-29.564746
MOA-2009-BLG-495,MOA-2,gb18,6,+18:12:59.8680,-26:34:39.4284,,273.24944999999997,-26.577619
MOA-2009-BLG-496,MOA-2,gb19,10,+18:19:51.4435,-24:38:22.8336,,274.96434791666667,-24.639675999999998
MOA-2009-BLG-497,MOA-2,gb5,7,+17:55:13.7921,-29:36:17.2260,,268.8074670833333,-29.604785
MOA-2009-BLG-498,MOA-2,gb9,9,+18:00:47.6726,-28:50:54.2040,,270.1986358333333,-28.84839
MOA-2009-BLG-499,MOA-2,gb7,1,+17:59:03.5676,-31:54:42.0732,,269.764865,-31.911686999999997
MOA-2009-BLG-500,MOA-2,gb9,7,+18:03:02.8692,-29:37:51.2508,,270.76195499999994,-29.630903
MOA-2009-BLG-501,MOA-2,gb17,7,+18:12:55.7854,-27:47:52.0764,,273.23243916666667,-27.797799
MOA-2009-BLG-502,MOA-2,gb5,8,+17:56:20.3474,-29:11:21.6024,,269.0847808333333,-29.189334
MOA-2009-BLG-503,MOA-2,gb14,5,+18:04:26.7317,-28:08:09.3768,,271.1113820833333,-28.135938
MOA-2009-BLG-504,MOA-2,gb16,5,+18:11:26.3926,-29:56:18.4776,,272.85996916666664,-29.938466000000002
MOA-2009-BLG-505,MOA-2,gb2,5,+17:51:36.6259,-35:06:30.1500,,267.9026079166666,-35.108375
MOA-2009-BLG-506,MOA-2,gb5,8,+17:55:47.7024,-29:23:10.1652,,268.94876,-29.386157
MOA-2009-BLG-507,MOA-2,gb5,4,+17:52:24.0511,-29:27:12.9708,,268.10021291666664,-29.453602999999998
MOA-2009-BLG-508,MOA-2,gb5,9,+17:54:53.5070,-28:54:20.0700,,268.72294583333326,-28.905575
MOA-2009-BLG-509,MOA-2,gb3,8,+17:54:49.1441,-32:45:42.4728,,268.7047670833333,-32.761798
MOA-2009-BLG-510,MOA-2,gb9,7,+18:02:10.6387,-29:39:20.0052,,270.54432791666665,-29.655556999999998
MOA-2009-BLG-511,MOA-2,gb1,2,+17:45:39.9595,-34:02:55.7880,,266.4164979166667,-34.048829999999995
MOA-2009-BLG-512,MOA-2,gb8,9,+18:02:04.5166,-30:30:54.3600,,270.5188191666667,-30.5151
MOA-2009-BLG-513,MOA-2,gb9,2,+17:58:12.0211,-28:45:06.9156,,269.5500879166666,-28.751921
MOA-2009-BLG-514,MOA-2,gb5,4,+17:52:21.3686,-29:34:36.7428,,268.0890358333333,-29.576873
MOA-2009-BLG-515,MOA-2,gb9,1,+17:57:15.7006,-28:33:11.2356,,269.31541916666663,-28.553121
MOA-2009-BLG-516,MOA-2,gb9,1,+17:57:54.3696,-28:36:40.4208,,269.47653999999994,-28.611228
MOA-2009-BLG-517,MOA-2,gb10,8,+18:02:36.3667,-27:23:24.7704,,270.6515279166666,-27.390214
MOA-2009-BLG-518,MOA-2,gb4,10,+17:57:04.3291,-30:07:54.8364,,269.26803791666663,-30.131899
MOA-2009-BLG-519,MOA-2,gb4,6,+17:54:09.0617,-31:43:40.6920,,268.53775708333325,-31.72797
MOA-2009-BLG-520,MOA-2,gb13,5,+18:03:31.2456,-29:53:51.1512,,270.88018999999997,-29.897541999999998
MOA-2009-BLG-521,MOA-2,gb2,4,+17:52:37.2182,-34:44:19.2516,,268.15507583333334,-34.738681
MOA-2009-BLG-522,MOA-2,gb8,9,+18:03:04.5353,-30:46:07.2156,,270.7688970833333,-30.768670999999998
MOA-2009-BLG-523,MOA-2,gb9,4,+17:58:21.4961,-29:38:19.1940,,269.5895670833333,-29.638665
MOA-2009-BLG-524,MOA-2,gb9,3,+17:57:57.1922,-29:13:53.6088,,269.4883008333333,-29.231558
MOA-2009-BLG-525,MOA-2,gb9,3,+17:59:37.3030,-29:19:14.7360,,269.90542916666664,-29.32076
MOA-2009-BLG-526,MOA-2,gb8,1,+17:57:04.0301,-30:07:54.9192,,269.26679208333326,-30.131922
MOA-2009-BLG-527,MOA-2,gb13,6,+18:07:16.7702,-29:53:13.6752,,271.8198758333333,-29.887132
MOA-2009-BLG-528,MOA-2,gb14,5,+18:03:48.5278,-28:11:44.6676,,270.9521991666667,-28.195741
MOA-2009-BLG-529,MOA-2,gb14,9,+18:07:31.1280,-26:59:28.0032,,271.87969999999996,-26.991112
MOA-2009-BLG-530,MOA-2,gb9,3,+17:57:27.2131,-29:10:57.5292,,269.3633879166666,-29.182647000000003
MOA-2009-BLG-531,MOA-2,gb13,1,+18:05:15.3902,-28:25:49.8936,,271.3141258333333,-28.430526
MOA-2009-BLG-532,MOA-2,gb7,2,+17:57:10.4784,-32:22:23.7216,,269.29365999999993,-32.373256
MOA-2009-BLG-533,MOA-2,gb7,4,+17:58:02.3772,-33:04:18.2280,,269.50990499999995,-33.07173
MOA-2009-BLG-534,MOA-2,gb5,2,+17:53:22.5014,-28:53:42.0756,,268.3437558333333,-28.895021
MOA-2009-BLG-535,MOA-2,gb5,7,+17:56:51.8539,-29:27:08.6724,,269.21605791666667,-29.452409
MOA-2009-BLG-536,MOA-2,gb4,5,+17:53:50.4415,-31:32:52.2636,,268.46017291666664,-31.547851
MOA-2009-BLG-537,MOA-2,gb10,7,+18:01:05.2250,-27:58:35.1048,,270.2717708333333,-27.976418
MOA-2009-BLG-538,MOA-2,gb8,10,+18:02:58.8312,-30:09:38.2644,,270.74513,-30.160629
MOA-2009-BLG-539,MOA-2,gb5,8,+17:54:44.0858,-29:18:17.0748,,268.6836908333333,-29.304743000000002
MOA-2009-BLG-540,MOA-2,gb14,8,+18:06:16.4762,-27:29:25.6488,,271.5686508333333,-27.490458
MOA-2009-BLG-541,MOA-2,gb13,5,+18:03:59.3263,-30:01:51.4812,,270.9971929166667,-30.030967
MOA-2009-BLG-542,MOA-2,gb18,4,+18:11:17.6810,-26:06:09.6552,,272.8236708333333,-26.102682
MOA-2009-BLG-543,MOA-2,gb2,3,+17:52:37.8266,-34:31:13.7064,,268.1576108333333,-34.520474
MOA-2009-BLG-544,MOA-2,gb4,4,+17:52:29.2380,-31:16:12.9360,,268.121825,-31.27026
MOA-2009-BLG-545,MOA-2,gb4,8,+17:55:35.8390,-31:06:20.0916,,268.89932916666663,-31.105581
MOA-2009-BLG-546,MOA-2,gb7,8,+18:01:17.5039,-32:45:22.3056,,270.3229329166666,-32.756196
MOA-2009-BLG-547,MOA-2,gb8,2,+17:57:16.2370,-30:33:48.7188,,269.31765416666667,-30.563533
MOA-2009-BLG-548,MOA-2,gb8,7,+18:00:42.6005,-31:11:45.7440,,270.1775020833333,-31.19604
MOA-2009-BLG-549,MOA-2,gb14,8,+18:07:36.1586,-27:33:46.9944,,271.90066083333335,-27.563054
MOA-2009-BLG-550,MOA-2,gb14,1,+18:03:23.4192,-26:46:27.3396,unknown,270.84758,-26.774261
MOA-2009-BLG-551,MOA-2,gb4,10,+17:55:32.6347,-30:22:15.0996,,268.88597791666666,-30.370861
MOA-2009-BLG-552,MOA-2,gb8,6,+18:02:01.4390,-31:33:48.0060,,270.5059958333333,-31.563335000000002
MOA-2009-BLG-553,MOA-2,gb14,4,+18:05:10.9015,-27:42:51.2424,,271.2954229166666,-27.714233999999998
MOA-2009-BLG-554,MOA-2,gb3,9,+17:57:10.4950,-32:22:23.7000,,269.2937291666666,-32.37325
MOA-2009-BLG-555,MOA-2,gb5,8,+17:56:35.3542,-29:23:45.6180,,269.1473091666666,-29.396005
MOA-2009-BLG-556,MOA-2,gb14,3,+18:04:12.1037,-27:22:10.4196,,271.0504320833333,-27.369561
MOA-2009-BLG-557,MOA-2,gb10,5,+17:59:06.9811,-28:15:22.0572,,269.77908791666664,-28.256127
MOA-2009-BLG-558,MOA-2,gb14,8,+18:07:48.1781,-27:32:30.3468,,271.9507420833333,-27.541763000000003
MOA-2009-BLG-559,MOA-2,gb14,9,+18:06:45.6461,-27:17:27.6072,,271.6901920833333,-27.291002000000002
MOA-2009-BLG-560,MOA-2,gb2,7,+17:55:27.5822,-34:41:55.7448,,268.86492583333336,-34.698817999999996
MOA-2009-BLG-561,MOA-2,gb3,9,+17:55:33.0326,-32:23:37.5900,,268.8876358333333,-32.393775
MOA-2009-BLG-562,MOA-2,gb5,9,+17:56:49.6546,-28:54:49.3920,,269.20689416666664,-28.913719999999998
MOA-2009-BLG-563,MOA-2,gb9,10,+18:01:48.5026,-28:28:55.0128,,270.4520941666666,-28.481948
